name,city,neighborhood,summary
Tanoshi,New York,Upper East Side,Tanoshi is a surprise in a city with few options for sushi between the wincingly expensive and the suspiciously cheap. Its storefront is cluttered with plants a ceramic happy cat and an enormous white light fixture that calls to mind an exploded chrysanthemum. Taped near the door is a page-long manifesto from the chef Toshio Oguma which gently Í¢‘„‘ñencourages\u201d diners to eat his sushi with their fingers and refrain from dunking it in soy sauce. (Heed him.) Mr. Oguma worked at Morimoto here and in Napa County Calif. where he was executive sushi chef. At Tanoshi he has stripped things down. The restaurant has only 10 seats and only sushi is on offer served omakase (chefÍ¢‘„‘s choice) which includes 10 pieces of nigiri and two rolls and never comes to more than $50. This is sushi in the classical mode with the kind of attention to detail you expect to find at New YorkÍ¢‘„‘s high temples of sushi not a sushi bar with a neon Í¢‘„‘ñOpen\u201d sign in the window.
Arlington Club,New York,Upper East Side,A self-described steakhouse that can be experienced in any number of ways. The beef is classic steakhouse meat: corn-fed Midwestern prime-grade dry aged and seared on a 1200-degree broiler. Yet some of the best things on the menu are not the ones youÍ¢‘„‘d see in a traditional steakhouse like popovers truffled gnocchi mac and cheese or a defiantly French crÍ—‘Îpe soufflÍ—‘© for dessert. Laurent Tourondel the chef has an almost diabolical knack for sophisticated crowd pleasers. When heÍ¢‘„‘s in the zone as he is most of the time at Arlington Club his cooking is as ingratiating as it is skillful; it wins your affection right away and then earns your respect.
Zizi Limona,Brooklyn,Williamsburg,Zizi Limona which opened in Williamsburg in September cultivates an air of unhurry. As for the name: it is happy nonsense invented by the owners veterans of Middle Eastern establishments in Manhattan who wanted to be free of culinary or geographic limitation. Zizi Limona could be Israeli or Italian a grandmother squeezing lemons on a sun-swamped veranda a memory to keep you going through the winter. The chef Nir Mesika 29 grew up in Israel but his mother was born in Casablanca and his recipes borrow from her Shabbat dinner table and reach across the Mediterranean. Some renditions are more faithful than others.
El Toro Blanco,New York,West Village,Once you plow through the crowds struggling in vain to catch a bartenderÍ¢‘„‘s eye at El Toro Blanco you emerge into a dining room that might be in Santa Barbara during the last days of the Nixon administration. This hip retro design is the latest sign that in New York City Mexican cuisine is cool of the moment and ready to be presented without the quotation marks. Admittedly the interior makes the point more forcefully than its menu. The main courses are on the mild side and the sauces rarely achieve the profound interplay of heat bitterness smoke fruits nuts and spices that can make Mexican cuisine so rewarding. Balancing that though is the kitchenÍ¢‘„‘s emphasis on fresh flavors and its appealing lineup of street snacks and other appetizers
MurrayÍ¢‘„‘s Cheese Bar,New York,West Village,MurrayÍ¢‘„‘s Cheese Bar stands a few doors down from its mothership the venerable and encyclopedic MurrayÍ¢‘„‘s Cheese Shop. Its titular attraction comes in two forms the perennial dichotomy of raw and cooked. On one side of the menu are permutations of melt bake and fry including deep-fried curds given a Buffalo-style baptism by fire and fondues poured over hapless burgers that never knew what hit them. But the heart of the restaurant lies in the roster of cheeses culled from Murray's voluminous archives and caves beneath Bleecker Street. You may choose a precomposed cheese flight but why when you can ask the cheesemonger on duty to improvise? This is cheese omakase a parade of rarefied specimens laid out on a slate board with compatriots and unexpected condiments (pickled kimchi wasabi-pea brittle) Í¢‘„‘î a gluttonous meditation.
Aamanns-Copenhagen,New York,TriBeCa,The New York foothold of a popular Danish modern sandwich shop serving expensive artisanal smorrebrod (open-face sandwiches) on excellent Nordic bread in a lofty white space in TriBeCa. 
Bistro SK,Bronx,City Island,In a remote nautical enclave of the Bronx where the restaurants are best known for fried clams and views of Long Island Sound Bistro SK is an improbably authentic and intimate French bistro. Go for the professional service and expertly turned out classics like snails in garlic butter mussels in white wine and cream steak au poivre and floating island. 
LÍ¢‘„‘Apicio,New York,East Village,The polenta dishes along with most of the pastas and appetizers are handled so expertly that it almost doesnÍ¢‘„‘t matter that LÍ¢‘„‘ApicioÍ¢‘„‘s grasp of the main courses is much less steady. After eating from the opening sections of the Italianesque menu you can be in such high spirits that you donÍ¢‘„‘t necessarily mind when the uncharismatic pork chop or dubious Arctic char shows up. You can even forgo them altogether. Uneven in ways that would be fatal for another restaurant LÍ¢‘„‘Apicio can deliver a very enjoyable night out if you donÍ¢‘„‘t ask too much of it.
Barclays Center,Brooklyn,Prospect Heights,Barclays CenterÍ¢‘„‘s spaceship-shiny silver lobby is lined with with 12 permanent concessions that all make some claim to a Brooklyn bond. Among the old-timers are NathanÍ¢‘„‘s the Coney Island hot-dog stand and L&amp;B Spumoni Gardens the venerable Bensonhurst pizzeria. Here too is the new Brooklyn bearded and ironic dedicated to the handmade and the small batch. Artisanal sausages from the Michelin-starred chef Saul BoltonÍ¢‘„‘s Brooklyn Bangers are sold alongside NathanÍ¢‘„‘s dogs; Blue Marble organic soft-serve made with cream from pasture-raised cows is studded with shards of cakes and cookies from JuniorÍ¢‘„‘s. Keep in mind that all Barclays food operations are partnerships between individual vendors and Levy Restaurants which runs similar arena concessions across the country so not everything has a homemade touch. No matter. At night with the drooping chorus of Í¢‘„‘ñBroook-lyn Broook-lyn\u201d Í¢‘„‘î half hip-hop half Gregorian chant Í¢‘„‘î throbbing faintly from the arenaÍ¢‘„‘s core mournful and triumphant at once old and new Brooklyn become one.
Royal Seafood Restaurant,Manhattan,Chinatown,We go to Chinatown restaurants because no part of Manhattan so readily offers better food for less money; because the portions are truly meant for sharing; because even those places that donÍ¢‘„‘t change their fluorescent bulbs as often as they might still buy fresh snow pea shoots each day. Royal Seafood has glinting chandeliers not fluorescent bulbs but its suits all the other criteria beautifully. It has the added benefit of serving food that is often very close to Cantonese cuisine the original flavor of Chinatown with enough modern Hong Kong flourishes to let you know that itÍ¢‘„‘s 2012.
La Tarte FlambÍ—‘©e,Yorkville,Upper East Side,La Tarte FlambÍ—‘©e aspires to the spirit of a traditional Alsatian winstub or tavern minus the checkered tablecloths. The dish that lends the restaurant its name is a handkerchief of dough with a crisp fringe and slightly wilting interior rolled out so thin you wonder how it holds itself together. It comes in a rough rectangle on a wooden pallet a meld of nubbled bread crÍ—‘Îme fraÍ—‘Œche caramelized onion and lardons in craggy pink clusters. A slice has almost no weight at all and then it hits you: smoke tang a slash of flagrant sweetness. In the dialect of Alsace this distant cousin to pizza is known as flammekueche; to La Tarte FlambÍ—‘©eÍ¢‘„‘s young Alsatian owner Mathias Peter it is simply Í¢‘„‘ñflammy.\u201d The location of the restaurant in Yorkville on the Upper East Side is fitting given the dishÍ¢‘„‘s Franco-Germanic origins: a century ago the neighborhood was the hub of German immigrant life in the city.
Moti Mahal Delux,New York,Upper East Side,Heavily influenced by the Persian cuisine that was brought to the subcontinent by the Mogul emperors the cooking of North India still has an imperial lavishness when cooked with care and consideration for ingredients as it is at Moti Mahal Delux. The restaurant is itself an outpost of an empire a chain centered in New Delhi that has built a formidable reputation among Indians for its tandoori chicken butter chicken and that black-lentil dal.
Dirt Candy,New York,East Village,Since opening in the East Village in 2008 the chef Amanda Cohen has been waging war on the Í¢‘„‘ñeat your vegetables\u201d mind-set. While all her dishes are vegetarian (and nearly all can be made vegan on request) Ms. Cohen isnÍ¢‘„‘t necessarily out to save a small planet or prevent heart disease. Her goals are possibly more subversive and she achieves them with vegetable cookery that is original clever visually arresting and above all a lot of fun.
Ducks Eatery,New York,East Village,Exciting things are happening at Ducks Eatery where a bayou smokehouse meets a backpacker pipe dream. Shrimp heads are injected with ssamjang (a mixture of Korean fermented soybean and chile pastes) and dipped in liquid nitrogen before being tossed onto the grill and painted with whipped lardo; yakamein a kind of bootleg ramen indigenous to New Orleans is crossbred with Malaysian laksa to produce a 30-ingredient super-broth. At times you think youÍ¢‘„‘ve stumbled on a low-rent Atera. But the fuss doesnÍ¢‘„‘t always pay off. Flavors tend to pop one after another each obliterating the one before like a string of firecrackers. ItÍ¢‘„‘s the seemingly straightforward dishes Í¢‘„‘î lettuce wraps of crispy pig ears impeccable ribs brined in fish sauce and shrimp paste Í¢‘„‘î that deliver the frankest pleasures. Will Horowitz the chef and an owner is committed to the cause: he recently moved into the apartment above the restaurant the better to watch over the smoker. 
M. Wells Dinette,Long Island City,Long Island City,This reprise of M. Wells which operated in a tin-can diner for just over a year is not open for dinner and seems to have scaled back the portions ever so slightly for daytime eating. But its chef Hugue Dufour did not return to the kitchen to make cucumber sandwiches. The menus which change daily can be read as methodical studies in the uses of animal fat. There are times when excess does not lead to success. Then again you might just accept the occasional greasy sauce as the price you pay for all the food at M. Wells Dinette that youÍ¢‘„‘ll never find anywhere else least of all in a museum cafe. 
Rustic L.E.S.,New York,Lower East Side,Rustic L.E.S. is the name of this tiny restaurant in the far east of the Lower East Side and it looks it with faint stains of light from bare bulbs against exposed brick and concrete. Vintage wooden mandolines hang on a shadowy wall. Technically there are 19 seats but 5 are just stools at the bar; the rest are divided among a shifting configuration of tables. The woman who asks you gently mid-meal what you think of the food is Elsa Leon one of the owners. Her husband Yassir Raouli may stop by later on taking a break from his post in the kitchen and hold the door open for you when you leave. Three years ago the couple started Bistro Truck a food truck specializing in the cuisine of Mr. RaouliÍ¢‘„‘s native country Morocco with a tilt to the Mediterranean. Rustic L.E.S. which opened in September is their first culinary venture with a fixed address and a chance for Mr. Raouli a self-taught chef to try out more elaborate dishes like oxtails braised with preserved lemons and lamb meatball tagine. The food is uneven which is to say homey. But it has the imprint of someone who takes pleasure in cooking and in sharing that pleasure.
Ganso,New York,Downtown Brooklyn,Ganso is half-hidden on a bland tangent off the Fulton Street Mall in Downtown Brooklyn at a midpoint between Armani Exchange and IHOP. The chef Ryuji Irie a native of Japan was second-in-command to Tadashi Ono at the now-shuttered Matsuri; one of the owners  Harris Salat is an American devotee of Japanese soul food who has co-written three Japanese cookbooks (two of which happen to be sitting on my kitchen shelf). The menu reads as a catalog of straightforward pleasures but the scrupulously pleated gyoza and kimchi-boosted pork buns surprise and the chicken wings are a feat of engineering the crust blistered and coppery the sauce a mere evanescence of sweetness. There is a tendency toward overdelicacy in seasoning however which extends to the ramen. While the noodles have tooth the broths are puzzlingly reticent. You detect layers of flavor complicated equations of alkalinity and suspended fat and yet and yet: they have nuance and dimension but no impact. Still they are so meticulously made you wonder for a moment if youÍ¢‘„‘re missing something. Some ramen broths detonate at first spoonful then fizzle out halfway through; others start off meek and turn carnal. Ganso aspires to the latter. After my initial disappointment I kept eating idly expecting nothing and as I dragged up broth from the bottom of the bowl the flavors began to deepen and assert themselves. What I had thought nebulous took on a distinct point of view. No MSG is used no artificial flavor boosters. And no condiments are on the table. There is an austerity to the proceedings a sense that something is being asked of us the diners as well. Patience perhaps.
Guy's American Kitchen &amp; Bar,New York,Times Square Theatre District,On his show Í¢‘„‘ñDiners Drive-Ins and Dives\u201d Guy Fieri cruises around the country rasping out slangy odes to the unfancy places where Americans like to get down and greasy. He is televisionÍ¢‘„‘s answer to Calvin Trillin if Mr. Trillin bleached his hair drove a Camaro and drank Boozy Creamsicles. But the kind of cooking he celebrates on television is treated with staggering disregard at his restaurant in Times Square. Even the nachos are unlovable. 
Gran ElÍ—‘©ctrica,Brooklyn,Fulton Ferry,Gran ElÍ—‘©ctrica an upscale Mexican restaurant near the Dumbo waterfront in Brooklyn wants to have it both ways: to be elevated yet rustic chic yet homey. For the most part it succeeds thanks to the chef Sam Richman who did stints at WD-50 and Jean-Georges. One of a number of non-Mexican chefs tackling Mexican cuisine Mr. Richman is closer in spirit to Rick Bayless than Alex Stupak seeking to honor tradition rather than riff on it. Presentations are blunt without embellishment but the flavors are hard-hitting and precise. And while the food is earnest and unshowy the drinks are glamour girls. Has there ever been a margarita as lovely as the one splashed with beet juice cardinal red ermined in salt with a wafer of beet stabbed through the heart and laid across the rim? It is barely sweet as it should be. There is a garden out back but in off-months indoors has its own cheeky charm with toile wallpaper populated by frolicking skeletons an homage to the 19th-century Mexican illustrator JosÍ—‘© Guadalupe Posada. In the dim light you can almost make out the details: fleshless horses loping around JaneÍ¢‘„‘s Carousel skeletons in beards and suspenders on vintage trikes cackling. But where are the young lovelies clutching their margaritas?
CÍ—‘_modo,Manhattan,SoHo,Two years before opening CÍ—‘_modo the newlyweds Felipe Donnelly and Tamy Rofe began moonlighting from their day jobs as advertising executives by hosting weekly dinner parties in their TriBeCa apartment for carefully pre-Googled strangers. Twitter fame and a cease-and-desist letter from the New York City health department followed; they rethought their lives; and CÍ—‘_modo on the western fringe of SoHo is the result. It is almost a clichÍ—‘© of a romantic restaurant: white curtains wafting out into the half-deserted street light catching on stemless wine glasses a blur of candles against dark wood. Mr. Donnelly who is of Colombian descent has lived in Spain Brazil and Mexico and his menu rambles with dishes like the BogotÍ—‘ specialty ajiaco (for which soup is too humble a term) cranberry-studded lamb burgers tucked into Brazilian pÍ—‘£o de quiejo (think gougÍ—‘Îres) and ceviche strewn with cancha an Andean popcorn that swaps fluffiness for crunch. The restaurant feels pleasingly improvised belonging to more languorous clime where supper doesnÍ¢‘„‘t start until 10 p.m.. and evening is one never-finished conversation.
Talde,Brooklyn,Park Slope,A veteran of Vong in Chicago and Buddakan in New York before his time on Í¢‘„‘ñTop Chef\u201d Dale Talde has a well-polished knack for translating Asian dishes for popular tastes. He has reimagined the Vietnamese dish cha ca la Vong for instance as a do-it-yourself fish taco. Compared with the soaring theatrics of Buddakan Talde is spartan a long white rectangle enlivened here and there by elaborate 19th-century mahogany carvings of Orientalist motifs like elephants and dragons
'21' Club,New York,Midtown,There are only a few things at Í¢‘„‘ñ21\u201d that one can order with any anticipation: the famous chicken hash the Í¢‘„‘ñ21\u201d burger and the coconut cake topped with a beehive of white meringue and toasted coconut. But to judge Í¢‘„‘ñ21\u201d as a restaurant is to miss the point of the place. Like GalatoireÍ¢‘„‘s in New Orleans Í¢‘„‘ñ21\u201d is at its best when you treat the food as a solid foundation for the liquid entertainment. Take note of the first question you are asked at the table. It is not an offer of still or sparkling but: Í¢‘„‘ñCan I get you something to drink?\u201d On a good night everybody who works at Í¢‘„‘ñ21\u201d behaves like a bartender and the meal sails along on a river of alcohol and high spirits. 
Blue Collar,Brooklyn,Williamsburg,Blue Collar is a sunny counter-service-only spot with red chairs and round white tables anchored by bottles of ketchup and mustard and vintage National Safety Council posters (DonÍ¢‘„‘t Ride on a Moving Rig! Keep Aisles Clear!) clamped to clipboards zig-zagging along the wall. Burgers built in the In-N-Out Californian style start at $4 single and unadorned and top out at $6.25 for a double with cheese which is the one you want. The thin 3.5-oz. patties are pressed down with weights on a flat-top grill so they get a nice dark crust but hold their juices. The potato bun is appropriately squishy the toppings (lettuce tomato onion pickles secret sauce) uncontroversial. Without cheese it is nothing. With cheese Í¢‘„‘î plain American of course Í¢‘„‘î it is a contender. It may lack the precision engineering of Shake ShackÍ¢‘„‘s but it satisfies nonetheless.
Lake Trout,Brooklyn,Williamsburg,Lake TroutÍ¢‘„‘s name refers to a working-class Baltimore specialty that is neither lake in origin nor trout. It consists of whiting a salt-water bottom-feeder deep fried and flung on white bread. The chef and co-owner Matt Lang a Baltimore native thoroughly debones the whiting fillets Í¢‘„‘î contrary to tradition: crunching a few bones is supposed to be part of the fun Í¢‘„‘î before coating them in cracker meal and flour. They are paired with a thick sweet-ish potato bread that is yellow as pound cake and malleable as Primaloft. The fish nubbled copper with ashy wrinkled undersides curl desperately in on themselves and taste as if they never knew salt. Another cheap Baltimore standby the cheese fish Í¢‘„‘ñsangwich\u201d as it is spelled on the menu is a square of deep-fried Alaskan pollock that arrives half disintegrating into a mush of tartar sauce and a concoction of Velveeta pickled jalapeÍ—‘±os beer cayenne and garlic powder. The space is cheerless hemmed in by dark wood panelling from the seventies that no one wishes back with Baltimore sports memorabilia on the walls evoking a teenage boyÍ¢‘„‘s abandoned bedroom.
Pok Pok Phat Thai,New York,Lower East Side,You can go so long without eating good pad Thai that you forget what it is supposed to taste like. So the version at Pok Pok Phat Thai on the Lower East Side is confusing at first. The noodles are loose lustrous but not slick. The flavors are balanced subtle almost too much so. You must retrain your tongue to recognize them: sour tamarind; briny fish sauce; sweet-salty nubs of preserved radish; raw peppery blades of garlic chives; chile just tickling. Palm sugar mellower than cane sugar is barely detectable. Some might call this bland. Keep digging. It takes a few bites for the sense of wonder Í¢‘„‘î and gratitude Í¢‘„‘î to kick in. The chef is Andy Ricker who tends a small flock of renowned Thai eating and drinking spots in Portland Ore. along with a Brooklyn outpost Pok Pok Ny. Note that pad Thai is not available at Mr. RickerÍ¢‘„‘s other establishments. He has resisted serving it until now partly to evangelize on behalf of more obscure Thai dishes and partly because in Thailand the best pad Thai is made on the street by specialists one portion at a time. Here in a half-sunken space below Rivington Street papered in vintage Thai record sleeves everything is made to order and served still smoking cooking and commingling on a banana leaf laid over a paper plate. It is perhaps as close as you can get in this town to the real thing.
Phayul ,Queens,Jackson Heights,At Phayul whose name means fatherland in Tibetan the food is lively and rugged true to what you might find in the alpine villages of Kham and on the austere steppe of Amdo regions that straddle eastern Tibet and western Sichuan. Those expecting mildness and calm may be shocked when a slow paralysis takes hold of the tongue. The cause is emma better known as Sichuan peppercorn a spice found on the Tibetan plateau and omnipresent here. On the walls are black-and-white photographs of Lhasa as it was before 1959 when the Chinese military occupied Tibet; by the cash register are handouts from the Tibet Action Institute with tips for increasing online security. Gently moderating the scene is the Dalai Lama beaming down from a framed photograph on a shelf lined with offering bowls filled with candy. 
Yunnan Kitchen,New York,Lower East Side,A sleek package of glass and exposed brick on an unreconstructed block of the Lower East Side Yunnan Kitchen takes a farmerÍ¢‘„‘s market approach to the cuisine of Yunnan Province. Few New Yorkers know much about this food which enables Travis Post the chef and Erika Chou the owner to take some liberties without getting pulled over by the authenticity police. Mr. PostÍ¢‘„‘s fresh locavore sensibility leads to takes on Yunnanese cuisine that are straightforward and uncomplicated. In one key way this is a liability: nothing at Yunnan Kitchen builds to a pitch of flavor that makes you dream about your next visit. That may change as Mr. Post explores a bit more deeply; in the meantime there are enough lovely tastes to build a good meal. 
Blue Ribbon Sushi Izakaya,New York,Lower East Side,The strains of empire are apparent at Blue Ribbon Sushi Izakaya the latest addition to Eric and Bruce BrombergÍ¢‘„‘s ever-expanding Blue Ribbon portfolio. The restaurant ensconced on the second floor of the Thompson LES Hotel rises above Orchard Street but cannot be said to overlook it: the wall of windows has been blacked out with rough vertical planks. This is meant to evoke the coziness of a subterranean izakaya or Japanese pub but the mood is more brooding lounge. Diners slump in half-moon booths attempting to spin the lazy susan secreted in each glossy tabletop or hunch on plush tuffets around communal tables sneaking peeks at the neighbors. The cluttered menu spans four pages plus a sheet of specials. It helps to be eating with an entourage. The loveliest dishes are the smallest and the most traditionally Japanese. But the sushi tends in style more to party platter than jewel box and the Blue Ribbon classics Í¢‘„‘î fried chicken bread pudding Í¢‘„‘î disappoint.
Ichimura at Brushstroke,New York,TriBeCa,Ichimura at Brushstroke does not go out of its way to advertise itself. There is no sign on the street and no door of its own; you enter it through Brushstroke. One explanation for the low profile is that tiny hard-to-spot restaurants are a longstanding tradition in Japan and Ichimura at Brushstroke is steeped in tradition. Its chef Eiji Ichimura practices the Edo-mae style of sushi that he learned decades ago in Tokyo. Developed in the 19th century before refrigeration Edo-mae sushi was made with fish that had often been cured in salt or vinegar or stored in soy sauce to keep it from spoiling. While Mr. Ichimura has toned down his use of salt over the years his fish still offers stronger flavors than are encountered in most New York sushi restaurants. Even the rice seasoned with a blend of three vinegars is unusually assertive; it may ruin other sushi for you. 
Bobwhite Lunch &amp; Supper Counter,Manhattan,East Village,Southern fried chicken is the mission at Bobwhite Lunch &amp; Supper Counter a small no-fuss storefront in Alphabet City whose owner and chef Keedick Coulter hails from Roanoke Va. First the chicken is baptized in sweet tea and left to brine overnight; then it is dredged in milk flour salt pepper and mystery spices that Mr. Coulter refuses to divulge. Into the pressure fryer it goes then onto your plate the skin dark bronze and nubbly the flesh tender and salty-sweet. It comes as a complete supper (available all day) with an overgrown buttermilk biscuit mottled gold on top and devastatingly moist inside and a dutiful salad. Side dishes are less successful with the happy exception of the pork-heavy Brunswick stew. Prices are gratifyingly low given Mr. CoulterÍ¢‘„‘s commitment to using only free-range birds and grass-fed heritage pork. And although the space is not particularly cozy people linger.
Le Cirque,New York,Midtown East,After nearly four decades Sirio Maccioni still greets each table at Le Cirque flattering loyal customers and pretending to recognize new ones. The tone of a restaurant is set at the top and in this one the formal old-fashioned way of tending to a table is softened by a warmth that feels genuine and a pride in doing things properly that can never be faked. Le Cirque practices a style of service that many people now regard as stiff and fussy. They wouldnÍ¢‘„‘t say that if theyÍ¢‘„‘d seen the servers at Le Cirque in action. Over decades on the job they have learned their movements and courtesies down in their bones.
AmÍ—‘li,New York,Upper East Side,AmÍ—‘li was once Persephone a haute Greek restaurant in the stoic Upper East Side mode. Now the food is more expansively Mediterranean and the space is detailed in steel and reclaimed pine with minimalist lamps made by local artisans and menus fastened to wooden boards with metal strips. New too is a commitment to seasonality and sustainability. The fish are line-caught by a Montauk fisherman; humanely raised grass-fed steers are butchered in-house. For dessert cannoli is drizzled with honey that may have come from a rooftop or balcony near you. The chef Nilton Borges Jr. a native of Rio de Janeiro previously did stints at Diner and Colicchio &amp; Sons farm-to-table stalwarts. His dishes at their best are assertive but unmannered true to their ingredients. The daring wine list curated by James Mallios a co-owner of the restaurant is hundreds of bottles deep with numerous choices from the land of Dionysus.
Lulu &amp; Po,Brooklyn,Fort Greene,On a residential corner of Fort Greene a brisk 10 minutes from the nearest subway and two ill-lighted blocks north of the restaurants clustered on DeKalb Avenue Lulu &amp; Po feels hidden. Even people who live in the neighborhood might never stumble upon it. This is too bad because it is a nice place to spend a drifty evening sipping a Moscow Mule with muddled ginger crunching deep-fried anchovies stung with a sriracha tartar sauce and eating a not-so-humble chicken with shatteringly crisp skin. Lulu &amp; PoÍ¢‘„‘s pleasures are modest and familiar: grown-up drinks rustic snacks and sound seasonal ingredients approached without too much deference. The space is a neat square thankfully underfurnished and styled in that industrial-cozy chic that Brooklyn does so well. The chef Matthew Hamilton previously at Prune and Belcourt named the restaurant after his daughter Lucy and his wife Po Kutchins. On a busier corner it would be sure to find an audience. It deserves one.
Nougatine at Jean Georges,Manhattan,Upper West Side,Though it rarely comes up in conversations about favorite Vongerichten restaurants Nougatine has been one of the most dependable year in and year out. Established 15 years ago as the easy-going bistro next door to the demure elegance of Jean Georges it is Audrey Tautou to the flagshipÍ¢‘„‘s Catherine Deneuve. ItÍ¢‘„‘s a livelier more kinetic space than Jean Georges; thereÍ¢‘„‘s a long mail-slot window into the kitchen where you can see the cooks in their whites silent and purposeful. (Hey thatÍ¢‘„‘s Jean-Georges Vongerichten at the pass!) Despite the night-on-the-town gloss the soul of the menu is not far removed from what you might cook at home Í¢‘„‘î or to be more realistic about it what Mr. Vongerichten might cook if he had you over to his apartment. 
Ni Japanese Delicacies,New York,Lower East Side,In the depths of the Essex Street Market on the Lower East Side past the cheesemonger the Latin grocer and the baklava shop stands Ni Japanese Delicacies a cluttered stall without tables or chairs. In the crowded glass case are small plastic bins of exquisite dishes that are only partly Japanese such as octopus cured in yuzu and pitched into chewy sweet hominy and smoked mackerel from Russ &amp; Daughters tucked into a sushi roll . For the owner and chef Atsushi Numata a native of Tokyo who has lived in New York for the past 22 years local sourcing means wandering the neighborhood. This is improvisation not fusion: the classic New York story. 
Rosemary's ,Manhattan,West Village,There are reasons RosemaryÍ¢‘„‘s waiting list has been oversubscribed since its opening. First among them is the spirited cooking of Wade Moises who learned to move gracefully around a scalding pot of spaghetti at Mario BataliÍ¢‘„‘s finishing school. You can spot some of the headmasterÍ¢‘„‘s knack for energetic flavors in RosemaryÍ¢‘„‘s linguine tossed with preserved lemon and threads of hot pickled chiles or in a chilled shrimp antipasto with mint jalapeno and ginger. Most of the prices offer remarkable values given the quality. The same isnÍ¢‘„‘t always true of the wine list which has 40 bottles all priced at $40 many with higher-than-usual markups.
La Vara,Brooklyn,Cobble Hill,The newest vessel in the small and nimble Spanish armada commanded by Alex Raij and her husband and co-chef Eder Montero who also own Txikito and El Quinto Pino in Manhattan. With La Vara they are exploring new territory the vast legacy of the Jews and Arabs who shared the Iberian Peninsula with Christians for centuries. The imprint of this three-way mixed marriage on SpainÍ¢‘„‘s cuisine isnÍ¢‘„‘t always evident. La Vara urges and rewards a closer inspection.
Biang!,Flushing Queens,Flushing,Biang! is a collaboration between David Shi and his son Jason Wang both natives of the ancient imperial city of XiÍ¢‘„‘an in central China. The recipes drawn from that cityÍ¢‘„‘s street vendors and casual noodle shops are Mr. ShiÍ¢‘„‘s; the design which takes more than a few pointers from places like the Momofuku restaurants is Mr. WangÍ¢‘„‘s. The merged sensibilities result in a place where Chinese grandparents can sit down next to young people who may not know the original recipes but can recognize great flavors and a very good deal when they see them. 
Brooklyn Crab,Red Hook Brooklyn,Red Hook,A block from the Red Hook waterfront stands Brooklyn Crab a shanty writ large three stories high and already looking faintly dilapidated although it was built this past year. The dÍ—‘©cor if such a word applies involves giant gaping fiberglass fish lobster traps and twinkle lights. Out back are rustic bean-bag-toss stations and a bare-bones miniature golf course. The bottom level is essentially a holding pen where people wait sometimes for hours for a proper meal on one of the upper levels. (Drinks and limited food are available perhaps to prevent an uprising.) By the time your name is finally called it is too late. The seafood -- mostly fried and steamed -- is just all right. 
Grey Lady,New York,Lower East Side,The mood is blithe at Grey Lady whose name salutes befogged Nantucket where the restaurantÍ¢‘„‘s owners summered when young. Loiterers at the long marble-topped bar have the air of preppy surfers who will be fox-hunting come fall. This is the seafood shack by way of Ralph Lauren: grainy sunlight through floor-to-ceiling windows pale beach-glass bottles matrices of mismatched mirrors and black-and-white photographs burlap pillows askew on a dusty blue leather couch. It harks back to the kind of New England seaside resort that has no locks on the doors and little recreation beyond adultery and highballs. With this atmosphere the food does not have to be good but it is particularly the lobster roll -- which is also available next door at the restaurantÍ¢‘„‘s takeout counter Downeast Clam Shack minus a little meat and the beautiful crowd. 
Fisherman's Dawta,Boerum Hill Brooklyn,Boerum Hill,At this languidly cluttered Jamaican spot the walls are that blue somewhere between sea shallow and untroubled sky. Reef-print banquettes are encased in plastic a piece of driftwood pins magazines to a battered wood coffee table and Í¢‘„‘ñRedemption Song\u201d is on the speakers. Behind the counter Jennefier Ewers the owner and chef takes orders and cooks squeezing bottles and jostling pans sometimes singing along with Bob Marley. Do not expect speed. Settle out back where stone steps lead to an archetypal oasis of weathered planks leafy trees and turquoise umbrellas. Time expands. All will come including jerk chicken whose coy sweetness gives way to blindsiding heat. This is how Scotch bonnet peppers attack: one detonation after another like a string of firecrackers. 
Nicoletta,New York,East Village,NicolettaÍ¢‘„‘s pizzas are not quite deep dish but they are heading in that direction. The crust is as strong as epoxy and are piled up with an abundance of toppings that would buckle an ordinary pie. In thickness and heft a Nicoletta pizza resembles the September issue of Vogue.
Foragers City Table,New York,Chelsea,Foragers City Table which opened in April is an annex to the boutique market Foragers City Grocer. Both are offshoots of Foragers Market in Dumbo Brooklyn which subscribes to the credo of local sourcing and sustainability. The owners run a 28-acre farm in the Hudson Valley that provides the stores and the restaurant with eggs herbs and vegetables some grown some foraged. The menu cadges seasonings from across Asia deploying to sometimes stunning effect Burmese fermented tea leaves Japense yuzu koshu and Vietnamese nuoc mam (fish sauce). The dining room an airy box of polished wood and steel beams is handsome if slightly unspecific -- what might happen if West Elm opened a restaurant. You wish it had more dirt under the fingernails. The adjoining grocery is cozier a lovely place to stroll after dinner stocking up on Whimsy &amp; Spice cookies and blessing all the artisanal vendors in Brooklyn.
Reynard,Brooklyn,Williamsburg,Nearly everything that comes out of ReynardÍ¢‘„‘s kitchen is chosen by hand and cooked with firewood. The chef Sean Rembold has a farmer who will pick baby okra pods when theyÍ¢‘„‘re the size of a AAA battery. He has a fishmonger who can deliver bluefish yanked from the sea so recently it can be served ceviche-style with smoked crÍ—‘Îme frÍ—‘¢iche. Most of the dishes bear the stamp of a grill or a woodburning oven. ReynardÍ¢‘„‘s hoods must be powered by jet engines because you donÍ¢‘„‘t smell smoke at your table until you get close to your food. Then you canÍ¢‘„‘t miss it. 
